carbon_footprint,type,food_item,cluster_id
8.45,,sea bass,0
8.500000000000002,,chocolate cakes,0
8.549999999999999,,fishes,0
8.599999999999998,,halibuts,3
8.8,,pheasants,3
8.849999999999998,,calamari,3
8.9,,catfish,3
9.0,,mortadella,3
9.099999999999998,,swordfishes,3
9.1,,ground chickens,0
9.1,,ground turkey,0
9.199999999999996,,albacore tuna,0
9.3,,quail,3
9.549999999999995,,parmesan cheese,0
9.549999999999995,,plaice,3
10.299999999999994,,scallops,3
10.399999999999997,,hake,3
10.449999999999998,,hams,3
10.549999999999995,,grana padano cheese,0
11.0,,smoked haddocks,3
11.0,,tiramisu,3
11.0,,white chocolate,0
11.099999999999998,,cheddar cheese,0
11.499999999999996,,sausages,0
11.5,,pork chop,0
11.5,,pork loin,0
11.5,,pork roast,0
11.5,,pork spare rib,0
11.5,,sharks,3
12.0,,dogfish,3
12.0,,monkfishes,3
12.0,,mullets,3
12.0,,salted cod fishes,0
13.199999999999998,,sole,2
13.999999999999996,,turbots,2
14.0,,chicken sausages,2
14.0,,turkey sausages,2
14.349999999999998,,butter,2
14.649999999999997,,cheese,2
15.0,,dry milk,2
16.049999999999997,,tea,2
16.25,,coffee,2
17.0,,bone in lambs,2
17.0,,cheeseburgers,2
17.0,,hamburgers,2
17.0,,pecorino cheese,2
18.0,,bone in beef,2
18.0,,pancetta,2
21.5,,tripe,2
21.65,,shrimp,2
22.0,,veal,2
24.0,,beef liver,2
24.0,,beef tongue,2
25.0,,boneless lambs,2
25.0,,lamb livers,2
26.0,,beef heart,2
26.0,,beef kidney,2
26.0,,boneless beef,2
27.0,,cocoa,2
29.0,,ground beef,2
29.0,,lobsters,2
30.5,,beef sirloin,2
30.5,,round beef,2
30.5,,steak flanks,2
31.0,,beef rib,2
31.0,,beef short rib,2
31.0,,crabs,2
31.5,,merguez,2
32.0,,dark chocolates,2
33.5,,lambs,2
36.0,,mutton,2
38.5,,beef chuck,2
45.5,,goat,1
51.0,,lamb chops,1
51.0,,lamb legs,1
59.85,,beef,1
75.0,,buffalo,1
